title,genres
Kolya (1996),['Comedy']
L.A. Confidential (1997),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
Heavyweights (1994),"[""Children's"", 'Comedy']"
Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']"
Jackie Brown (1997),"['Crime', 'Drama']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"['Sci-Fi', 'War']"
"Hunt for Red October, The (1990)","['Action', 'Thriller']"
"Jungle Book, The (1994)","['Adventure', ""Children's"", 'Romance']"
Grease (1978),"['Comedy', 'Musical', 'Romance']"
"Remains of the Day, The (1993)",['Drama']
Men in Black (1997),"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Romy and Michele's High School Reunion (1997),['Comedy']
Star Trek: First Contact (1996),"['Action', 'Adventure', 'Sci-Fi']"
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy']
Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']"
Only You (1994),"['Comedy', 'Romance']"
"Age of Innocence, The (1993)",['Drama']
Sabrina (1995),"['Comedy', 'Romance']"
Just Cause (1995),"['Mystery', 'Thriller']"
"Endless Summer 2, The (1994)",['Documentary']
"Man Without a Face, The (1993)",['Drama']
Sabrina (1954),"['Comedy', 'Romance']"
Die Hard (1988),"['Action', 'Thriller']"
Twister (1996),"['Action', 'Adventure', 'Thriller']"
Toy Story (1995),"['Animation', ""Children's"", 'Comedy']"
Broken Arrow (1996),"['Action', 'Thriller']"
Aladdin (1992),"['Animation', ""Children's"", 'Comedy', 'Musical']"
Casper (1995),"['Adventure', ""Children's""]"
Restoration (1995),['Drama']
Jaws (1975),"['Action', 'Horror']"
Chasing Amy (1997),"['Drama', 'Romance']"
"Silence of the Lambs, The (1991)","['Drama', 'Thriller']"
"Right Stuff, The (1983)",['Drama']
Sleepless in Seattle (1993),"['Comedy', 'Romance']"
"Sting, The (1973)","['Comedy', 'Crime']"
Curdled (1996),['Crime']
Rear Window (1954),"['Mystery', 'Thriller']"
Speechless (1994),"['Comedy', 'Romance']"
Crumb (1994),['Documentary']
French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']"
Fly Away Home (1996),"['Adventure', ""Children's""]"
"Trigger Effect, The (1996)","['Drama', 'Thriller']"
Tales from the Hood (1995),"['Comedy', 'Horror']"
Cop Land (1997),"['Crime', 'Drama', 'Mystery']"
Evil Dead II (1987),"['Action', 'Adventure', 'Comedy', 'Horror']"
Beautiful Thing (1996),"['Drama', 'Romance']"
"Last of the Mohicans, The (1992)","['Action', 'Romance', 'War']"
Get Shorty (1995),"['Action', 'Comedy', 'Drama']"
Kiss the Girls (1997),"['Crime', 'Drama', 'Thriller']"
Fargo (1996),"['Crime', 'Drama', 'Thriller']"
Fantasia (1940),"['Animation', ""Children's"", 'Musical']"
Murder at 1600 (1997),"['Mystery', 'Thriller']"
Return of the Jedi (1983),"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']"
Dead Poets Society (1989),['Drama']
Conan the Barbarian (1981),"['Action', 'Adventure']"
Naked Gun 33 1/3: The Final Insult (1994),['Comedy']
"Sound of Music, The (1965)",['Musical']
E.T. the Extra-Terrestrial (1982),"[""Children's"", 'Drama', 'Fantasy', 'Sci-Fi']"
"Boot, Das (1981)","['Action', 'Drama', 'War']"
Angels and Insects (1995),"['Drama', 'Romance']"
Scream (1996),"['Horror', 'Thriller']"
"Nightmare on Elm Street, A (1984)",['Horror']
Ben-Hur (1959),"['Action', 'Adventure', 'Drama']"
"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']"
"Brothers McMullen, The (1995)",['Comedy']
Young Guns (1988),"['Action', 'Comedy', 'Western']"
To Kill a Mockingbird (1962),['Drama']
Wings of Desire (1987),"['Comedy', 'Drama', 'Romance']"
Mr. Holland's Opus (1995),['Drama']
House Arrest (1996),['Comedy']
Old Yeller (1957),"[""Children's"", 'Drama']"
Jean de Florette (1986),['Drama']
Seven Years in Tibet (1997),"['Drama', 'War']"
Grosse Pointe Blank (1997),"['Comedy', 'Crime']"
That Darn Cat! (1965),"[""Children's"", 'Comedy', 'Mystery']"
Copycat (1995),"['Crime', 'Drama', 'Thriller']"
Star Trek III: The Search for Spock (1984),"['Action', 'Adventure', 'Sci-Fi']"
Jerry Maguire (1996),"['Drama', 'Romance']"
North by Northwest (1959),"['Comedy', 'Thriller']"
Outbreak (1995),"['Action', 'Drama', 'Thriller']"
Dangerous Minds (1995),['Drama']
Miller's Crossing (1990),['Drama']
Batman (1989),"['Action', 'Adventure', 'Crime', 'Drama']"
"Truth About Cats & Dogs, The (1996)","['Comedy', 'Romance']"
"Sword in the Stone, The (1963)","['Animation', ""Children's""]"
Bean (1997),['Comedy']
"Birdcage, The (1996)",['Comedy']
Con Air (1997),"['Action', 'Adventure', 'Thriller']"
Monty Python's Life of Brian (1979),['Comedy']
Sense and Sensibility (1995),"['Drama', 'Romance']"
Backbeat (1993),"['Drama', 'Musical']"
"African Queen, The (1951)","['Action', 'Adventure', 'Romance', 'War']"
"Adventures of Priscilla, Queen of the Desert, The (1994)","['Comedy', 'Drama']"
This Is Spinal Tap (1984),"['Comedy', 'Drama', 'Musical']"
Taxi Driver (1976),"['Drama', 'Thriller']"
Liar Liar (1997),['Comedy']
Young Frankenstein (1974),"['Comedy', 'Horror']"
Executive Decision (1996),"['Action', 'Thriller']"
Conspiracy Theory (1997),"['Action', 'Mystery', 'Romance', 'Thriller']"
It's a Wonderful Life (1946),['Drama']
"Wizard of Oz, The (1939)","['Adventure', ""Children's"", 'Drama', 'Musical']"
Raiders of the Lost Ark (1981),"['Action', 'Adventure']"
Terminator 2: Judgment Day (1991),"['Action', 'Sci-Fi', 'Thriller']"
Willy Wonka and the Chocolate Factory (1971),"['Adventure', ""Children's"", 'Comedy']"
